num	weight	title
27	0.002	>B0K6L2.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Thermoanaerobacter sp. X514] >B0K7U7.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphof
28	0.002	>B8D1K5.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Halothermothrix orenii H 168]
29	0.002	>C4K7E1.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)]
30	0.002	>B2A6Y0.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Natranaerobius thermophilus JW/NM-WN-LF]
31	0.002	>Q180P4.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Clostridioides difficile 630]
32	0.002	>Q5WEF6.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Bacillus clausii KSM-K16]
33	0.002	>A6TVD3.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Alkaliphilus metalliredigens QYMF]
34	0.002	>Q59214.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Paenibacillus macquariensis subsp. macquariensis]
35	0.001	>A0AJ20.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Listeria welshimeri serovar 6b str. SLCC5334]
36	0.002	>P21777.3 RecName: Full=ATP-dependent 6-phosphofructokinase 1; Short=ATP-PFK 1; Short=Phosphofructokinase 1; AltName: Full=Phosphohexokinase 1 [Thermus thermophilus HB8] >Q72H98.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Pho
37	0.002	>A0PYC8.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Clostridium novyi NT]
38	0.002	>Q11RE2.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Cytophaga hutchinsonii ATCC 33406]
39	0.002	>Q8CS68.2 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Staphylococcus epidermidis ATCC 12228]
40	0.002	>B1L266.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Clostridium botulinum A3 str. Loch Maree] >C3KV06.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; S
41	0.002	>A8MLY0.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Alkaliphilus oremlandii OhILAs]
42	0.002	>O08308.2 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Clostridium acetobutylicum ATCC 824]
43	0.002	>B2UZX8.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Clostridium botulinum E3 str. Alaska E43]
44	0.002	>B0S230.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Finegoldia magna ATCC 29328]
45	0.002	>Q836R3.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Enterococcus faecalis V583]
46	0.002	>B9E7A4.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Macrococcus caseolyticus JCSC5402]
47	0.002	>Q9KNP2.2 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Vibrio cholerae O1 biovar El Tor str. N16961]
48	0.002	>Q8EPD6.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Oceanobacillus iheyensis HTE831]
49	0.002	>C4LEQ5.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Tolumonas auensis DSM 9187]
50	0.002	>Q890Z2.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Clostridium tetani E88]
51	0.002	>Q8XNH2.1 RecName: Full=ATP-dependent 6-phosphofructokinase 1; Short=ATP-PFK 1; Short=Phosphofructokinase 1; AltName: Full=Phosphohexokinase 1 [Clostridium perfringens str. 13]
52	0.002	>Q65VM6.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [[Mannheimia] succiniciproducens MBEL55E]
53	0.002	>Q043V2.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Lactobacillus gasseri ATCC 33323 = JCM 1131]
54	0.002	>Q8RG98.2 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Fusobacterium nucleatum subsp. nucleatum ATCC 25586]
55	0.002	>C5BNR1.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Teredinibacter turnerae T7901]
56	0.002	>P80019.2 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Lactobacillus delbrueckii subsp. bulgaricus]
57	0.002	>Q9RWN1.2 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Deinococcus radiodurans R1]
58	0.002	>A1JHZ3.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Yersinia enterocolitica subsp. enterocolitica 8081]
59	0.002	>C6DHK2.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Pectobacterium carotovorum subsp. carotovorum PC1]
60	0.002	>Q8GNC1.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [[Haemophilus] ducreyi 35000HP]
61	0.002	>A8AXW1.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Streptococcus gordonii str. Challis substr. CH1]
62	0.002	>C0Z7W7.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Brevibacillus brevis NBRC 100599]
63	0.002	>Q1WTT3.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Lactobacillus salivarius UCC118]
64	0.002	>Q30T53.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Sulfurimonas denitrificans DSM 1251]
65	0.002	>B2V7W7.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Sulfurihydrogenibium sp. YO3AOP1]
66	0.002	>Q5FKG6.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Lactobacillus acidophilus NCFM]
67	0.002	>Q03F74.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Pediococcus pentosaceus ATCC 25745]
68	0.002	>Q93LR4.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Lysinibacillus sphaericus]
69	0.002	>C0QQX4.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Persephonella marina EX-H1]
70	0.002	>P0DOB6.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Lactococcus lactis subsp. lactis]
71	0.002	>B3WE64.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Lactobacillus casei BL23] >Q039I0.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofruc
72	0.002	>Q88VY1.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Lactobacillus plantarum WCFS1]
73	0.002	>B8D7J8.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)] >B8D996.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short
74	0.002	>B9DSA4.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Streptococcus uberis 0140J]
75	0.002	>O08333.1 RecName: Full=Pyrophosphate--fructose 6-phosphate 1-phosphotransferase; AltName: Full=6-phosphofructokinase, pyrophosphate dependent; AltName: Full=PPi-dependent phosphofructokinase; Short=PPi-PFK; AltName: Full=Pyrophosphate-dependent 6-phospho
76	0.002	>P65696.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Streptococcus agalactiae NEM316] >P65697.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phos
77	0.002	>Q8RQN5.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Corynebacterium efficiens YS-314]
78	0.002	>Q057P0.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Buchnera aphidicola BCc]
79	0.002	>A6QAB4.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Sulfurovum sp. NBC37-1]
80	0.002	>Q03KB7.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Streptococcus thermophilus LMD-9] >Q9L9E3.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Pho
81	0.002	>Q59126.2 RecName: Full=Pyrophosphate--fructose 6-phosphate 1-phosphotransferase; AltName: Full=6-phosphofructokinase, pyrophosphate dependent; AltName: Full=PPi-dependent phosphofructokinase; Short=PPi-PFK; AltName: Full=Pyrophosphate-dependent 6-phospho
82	0.002	>Q7VRK9.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Candidatus Blochmannia floridanus]
83	0.002	>O67605.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Aquifex aeolicus VF5]
84	0.002	>Q7M9C2.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Wolinella succinogenes DSM 1740]
85	0.002	>Q9L1L8.1 RecName: Full=ATP-dependent 6-phosphofructokinase 2; Short=ATP-PFK 2; Short=Phosphofructokinase 2; AltName: Full=Phosphohexokinase 2 [Streptomyces coelicolor A3(2)]
86	0.002	>Q2SSQ6.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Mycoplasma capricolum subsp. capricolum ATCC 27343]
87	0.002	>P20275.2 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Spiroplasma citri]
88	0.002	>Q8XL57.1 RecName: Full=ATP-dependent 6-phosphofructokinase 2; Short=ATP-PFK 2; Short=Phosphofructokinase 2; AltName: Full=Phosphohexokinase 2 [Clostridium perfringens str. 13]
89	0.002	>Q9FC99.1 RecName: Full=ATP-dependent 6-phosphofructokinase 3; Short=ATP-PFK 3; Short=Phosphofructokinase 3; AltName: Full=Phosphohexokinase 3 [Streptomyces coelicolor A3(2)]
90	0.002	>Q4A8Q3.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Mycoplasma hyopneumoniae 7448]
91	0.002	>P65691.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Mycobacterium tuberculosis variant bovis AF2122/97] >P9WID6.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=
92	0.002	>E0RTD9.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Spirochaeta thermophila DSM 6192]
93	0.002	>Q6KHX0.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Mycoplasma mobile 163K]
94	0.002	>Q83EH9.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Coxiella burnetii RSA 493]
95	0.002	>B8GAA4.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Chloroflexus aggregans DSM 9485]
96	0.002	>Q8A2E9.1 RecName: Full=ATP-dependent 6-phosphofructokinase 3; Short=ATP-PFK 3; Short=Phosphofructokinase 3; AltName: Full=Phosphohexokinase 3 [Bacteroides thetaiotaomicron VPI-5482]
97	0.002	>Q8DJB1.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Thermosynechococcus elongatus BP-1]
98	0.002	>Q9KH71.1 RecName: Full=Pyrophosphate--fructose 6-phosphate 1-phosphotransferase; AltName: Full=6-phosphofructokinase, pyrophosphate dependent; AltName: Full=PPi-dependent phosphofructokinase; Short=PPi-PFK; AltName: Full=Pyrophosphate-dependent 6-phospho
99	0.002	>Q98PW8.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Mycoplasma pulmonis UAB CTIP]
100	0.002	>P72830.1 RecName: Full=ATP-dependent 6-phosphofructokinase 1; Short=ATP-PFK 1; Short=Phosphofructokinase 1; AltName: Full=Phosphohexokinase 1 [Synechocystis sp. PCC 6803 substr. Kazusa]
101	0.002	>Q8YVR1.1 RecName: Full=ATP-dependent 6-phosphofructokinase 2; Short=ATP-PFK 2; Short=Phosphofructokinase 2; AltName: Full=Phosphohexokinase 2 [Nostoc sp. PCC 7120 = FACHB-418]
102	0.002	>Q8YKG3.1 RecName: Full=ATP-dependent 6-phosphofructokinase 1; Short=ATP-PFK 1; Short=Phosphofructokinase 1; AltName: Full=Phosphohexokinase 1 [Nostoc sp. PCC 7120 = FACHB-418]
103	0.002	>P75476.1 RecName: Full=Probable ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Mycoplasma pneumoniae M129]
104	0.002	>P47457.1 RecName: Full=Probable ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Mycoplasma genitalium G37]
105	0.002	>G4RK16.1 RecName: Full=Pyrophosphate--fructose 6-phosphate 1-phosphotransferase; AltName: Full=6-phosphofructokinase, pyrophosphate dependent; AltName: Full=PPi-dependent phosphofructokinase; Short=PPi-PFK; AltName: Full=Pyrophosphate-dependent 6-phospho
106	0.003	>Q55988.1 RecName: Full=ATP-dependent 6-phosphofructokinase 2; Short=ATP-PFK 2; Short=Phosphofructokinase 2; AltName: Full=Phosphohexokinase 2 [Synechocystis sp. PCC 6803 substr. Kazusa]
107	0.002	>Q8EVH2.1 RecName: Full=Probable ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Mycoplasma penetrans HF-2]
108	0.003	>D7GCU5.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1]
109	0.003	>Q27651.2 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Entamoeba histolytica]
110	0.003	>Q94AA4.1 RecName: Full=ATP-dependent 6-phosphofructokinase 3; Short=ATP-PFK 3; Short=Phosphofructokinase 3; AltName: Full=Phosphohexokinase 3 [Arabidopsis thaliana]
111	0.002	>Q9M076.1 RecName: Full=ATP-dependent 6-phosphofructokinase 6; Short=ATP-PFK 6; Short=Phosphofructokinase 6; AltName: Full=Phosphohexokinase 6 [Arabidopsis thaliana]
112	0.003	>Q9BIC6.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Leishmania donovani]
113	0.003	>Q9FKG3.1 RecName: Full=ATP-dependent 6-phosphofructokinase 4, chloroplastic; Short=ATP-PFK 4; Short=Phosphofructokinase 4; AltName: Full=Phosphohexokinase 4; Flags: Precursor [Arabidopsis thaliana]
114	0.003	>Q9WYC5.1 RecName: Full=Pyrophosphate--fructose 6-phosphate 1-phosphotransferase; AltName: Full=6-phosphofructokinase, pyrophosphate dependent; AltName: Full=PPi-dependent phosphofructokinase; Short=PPi-PFK; AltName: Full=Pyrophosphate-dependent 6-phospho
115	0.003	>O61068.1 RecName: Full=Pyrophosphate--fructose 6-phosphate 1-phosphotransferase 1; AltName: Full=6-phosphofructokinase, pyrophosphate dependent 1; AltName: Full=PPi-dependent phosphofructokinase 1; Short=PPi-PFK 1; AltName: Full=Pyrophosphate-dependent 6
116	0.002	>Q9PQV8.1 RecName: Full=Probable ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Ureaplasma parvum serovar 3 str. ATCC 700970]
117	0.004	>Q8VYN6.1 RecName: Full=ATP-dependent 6-phosphofructokinase 5, chloroplastic; Short=ATP-PFK 5; Short=Phosphofructokinase 5; AltName: Full=Phosphohexokinase 5; Flags: Precursor [Arabidopsis thaliana]
118	0.002	>Q8VU09.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Amycolatopsis methanolica]
119	0.002	>O15648.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Trypanosoma brucei brucei]
120	0.002	>Q4E657.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Trypanosoma cruzi strain CL Brener]
121	0.003	>Q27705.1 RecName: Full=Pyrophosphate--fructose 6-phosphate 1-phosphotransferase; AltName: Full=6-phosphofructokinase, pyrophosphate dependent; AltName: Full=PPi-dependent phosphofructokinase; Short=PPi-PFK; AltName: Full=Pyrophosphate-dependent 6-phospho
122	0.003	>Q9FIK0.1 RecName: Full=ATP-dependent 6-phosphofructokinase 2; Short=ATP-PFK 2; Short=Phosphofructokinase 2; AltName: Full=Phosphohexokinase 2 [Arabidopsis thaliana]
123	0.003	>O83146.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Treponema pallidum subsp. pallidum str. Nichols]
124	0.003	>Q8WPP2.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Trypanoplasma borreli]
125	0.003	>Q2RNU4.1 RecName: Full=Pyrophosphate--fructose 6-phosphate 1-phosphotransferase; AltName: Full=6-phosphofructokinase, pyrophosphate dependent; AltName: Full=PPi-dependent phosphofructokinase; Short=PPi-PFK; AltName: Full=Pyrophosphate-dependent 6-phospho
